Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.Damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.Flight,Air.Carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Report.Status,Publication.Date
20150731X22508,Incident,DCA15WA159,2015-07-12,"Singapore, Singapore",Singapore,,,,,Incident,,Airplane,,BOEING,767 - 346,No,,,,,,,,,,,,,Foreign,
20150713X43208,Accident,CEN15CA304,2015-07-12,"South St. Paul, MN",United States,44.857222,-93.032778,SGS,South St. Paul Municipal Airpo,Non-Fatal,Substantial,Airplane,N5139J,CESSNA,340,No,2,Reciprocating,Part 91: General Aviation,,Positioning,,,,,1,IMC,TAKEOFF,Probable Cause,14/06/2017
20150716X91546,Accident,WPR15FA215,2015-07-11,"Twin Sisters Mtn, WA",United States,48.689444,-121.970278,,N/A,Fatal(2),Destroyed,Airplane,N9712D,PIPER,PA 22-160,No,1,Reciprocating,Part 91: General Aviation,,Personal,,2,,,,VMC,,Probable Cause,17/11/2016
20150714X62513,Accident,WPR15FA212,2015-07-11,"Mazama, WA",United States,48.521111,-120.746666,,N/A,Fatal(2),Destroyed,Airplane,N8749A,BEECH,A35,No,1,Reciprocating,Part 91: General Aviation,,Personal,,2,1,,,VMC,,Probable Cause,02/05/2016
20150805X70830,Accident,GAA15CA213,2015-07-11,"Dauphin Island, AL",United States,30.260556,-88.127778,4R9,DAUPHIN ISLAND,Non-Fatal,Substantial,Airplane,N185DK,CESSNA,A185F,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Probable Cause,30/09/2015
20150714X75059,Accident,ERA15LA265,2015-07-11,"Mount Dora, FL",United States,28.835,-81.628611,X55,MID FLORIDA AIR SERVICE,Non-Fatal,Substantial,Airplane,N28864,LUSCOMBE,8A,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,2,VMC,TAKEOFF,Probable Cause,19/10/2015
20150716X75302,Accident,ERA15CA267,2015-07-11,"Batavia, NY",United States,43.031667,-78.169723,GVQ,Genesee county airport,Non-Fatal,Substantial,Airplane,N434LB,BRANDT LEROY E,CHALLENGER II,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,12/08/2015
20150713X85701,Accident,ANC15LA048,2015-07-11,"Juneau, AK",United States,58.356667,-134.580278,JNU,JUNEAU INTL,Non-Fatal,Substantial,Airplane,N3607Y,CESSNA,210,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,2,VMC,LANDING,Probable Cause,13/02/2017
20150710X82210,Accident,WPR15LA209,2015-07-10,"Phoenix, AZ",United States,33.686389,-112.076111,DVT,Phoenix Deer Valley Airport,Non-Fatal,Substantial,Airplane,N9152V,MOONEY,M 20G,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,,,,2,VMC,LANDING,Probable Cause,25/01/2018
20150716X95232,Accident,ERA15LA268,2015-07-10,"Buffalo, NY",United States,42.945,-78.738333,BUF,Buffalo Niagara International,Non-Fatal,Substantial,Airplane,C-FHER,CESSNA,170,No,1,Reciprocating,Part 91: General Aviation,,Personal,,,,,1,VMC,LANDING,Probable Cause,01/06/2016
